date,ticker,name,price,change,Price_change,volume,Avg_Vol_(3 month),Market_cap,PE_Ratio
2024-04-18,INSM,Insmed Incorporated,24.80,-1.38,-5.27%,2.215M,1.636M,3.684B,N/A
2024-04-18,FR,"First Industrial Realty Trust, Inc.",46.07,-2.53,-5.21%,2.326M,1.196M,6.265B,22.26
2024-04-18,VCEL,Vericel Corporation,43.86,-2.40,-5.19%,"410,760","465,454",2.122B,N/A
2024-04-18,THC,Tenet Healthcare Corporation,91.08,-4.92,-5.12%,2.317M,1.146M,9.034B,15.95
2024-04-18,FRO,Frontline plc,22.87,-1.17,-4.87%,2.583M,2.077M,5.091B,6.50
2024-04-18,TSM,Taiwan Semiconductor Manufacturing Company Limited,132.27,-6.76,-4.86%,38.662M,15.781M,686.086B,26.51
2024-04-18,DYN,"Dyne Therapeutics, Inc.",23.65,-1.17,-4.71%,"976,413",1.418M,2.038B,N/A
2024-04-18,HCA,"HCA Healthcare, Inc.",297.00,-14.03,-4.51%,2.705M,1.086M,78.552B,15.66
2024-04-18,SYM,Symbotic Inc.,40.09,-1.87,-4.46%,1.107M,1.518M,23.599B,N/A
2024-04-18,CERT,"Certara, Inc.",16.21,-0.74,-4.37%,"488,114","552,969",2.597B,N/A
2024-04-18,SGRY,"Surgery Partners, Inc.",23.42,-1.05,-4.29%,1.819M,"881,533",2.965B,N/A
2024-04-18,BHVN,Biohaven Ltd.,42.16,-1.87,-4.25%,3.608M,1.197M,3.443B,N/A
2024-04-18,BMI,"Badger Meter, Inc.",178.48,+25.48,+16.65%,"676,238","172,688",5.239B,56.84
2024-04-18,GPC,Genuine Parts Company,160.23,+16.16,+11.22%,3.915M,1.011M,22.34B,17.16
2024-04-18,FQVLF,First Quantum Minerals Ltd.,11.71,+0.97,+9.03%,"160,343","249,743",9.761B,N/A
2024-04-18,CLSK,"CleanSpark, Inc.",16.23,+1.31,+8.78%,40.252M,36.536M,3.659B,N/A
2024-04-18,AGL,"agilon health, inc.",5.38,+0.37,+7.39%,5.711M,5.288M,2.203B,N/A
2024-04-18,EDNMY,Edenred SE,25.20,+1.70,+7.23%,"25,192","52,348",12.587B,46.67
2024-04-18,ALLY,Ally Financial Inc.,38.71,+2.44,+6.73%,8.264M,3.843M,11.766B,12.95
2024-04-18,SNAP,Snap Inc.,11.63,+0.73,+6.70%,54.001M,30.307M,19.197B,N/A
2024-04-18,OSCR,"Oscar Health, Inc.",16.45,+0.91,+5.86%,4.733M,3.101M,3.779B,N/A
2024-04-18,MAN,ManpowerGroup Inc.,74.03,+3.96,+5.65%,1.337M,"400,438",3.582B,42.06
2024-04-18,ABBNY,ABB Ltd,48.37,+2.58,+5.62%,"179,598","197,625",89.547B,23.95
2024-04-18,LRLCY,L'Oréal S.A.,94.06,+4.96,+5.57%,"143,344","113,679",251.482B,38.39
2024-04-18,UAL,"United Airlines Holdings, Inc.",51.42,+2.68,+5.50%,36.619M,9.785M,16.907B,6.28
2024-04-18,IRDM,Iridium Communications Inc.,26.06,+1.35,+5.46%,2.123M,1.185M,3.172B,217.17
2024-04-18,DSKYF,"Daiichi Sankyo Company, Limited",29.75,+1.53,+5.42%,"17,305","2,920",58.048B,47.22
2024-04-18,DUOL,"Duolingo, Inc.",205.06,+10.40,+5.34%,2.319M,"630,174",8.792B,585.89
2024-04-18,DLAKY,Deutsche Lufthansa AG,7.08,+0.35,+5.16%,"53,807","45,203",8.469B,4.14
2024-04-18,EL,The Estée Lauder Companies Inc.,144.81,+6.77,+4.90%,3.884M,2.651M,51.91B,113.13
2024-04-18,ATEYY,Advantest Corporation,36.26,+1.69,+4.89%,2.702M,"181,646",27.32B,53.32
2024-04-18,OZK,Bank OZK,43.80,+1.98,+4.73%,2.116M,1.223M,4.968B,7.46
2024-04-18,HSHCY,"Haier Smart Home Co., Ltd.",13.49,+0.59,+4.57%,"50,666","190,361",35.116B,13.77
2024-04-18,KSS,Kohl's Corporation,22.85,+0.99,+4.53%,7.785M,5.371M,2.534B,8.02
2024-04-18,CQP,"Cheniere Energy Partners, L.P.",48.74,+2.09,+4.48%,"363,337","195,440",23.592B,7.01
2024-04-18,JWN,"Nordstrom, Inc.",18.74,+0.79,+4.40%,5.822M,4.456M,3.059B,22.85
2024-04-18,AAP,"Advance Auto Parts, Inc.",77.20,+3.15,+4.25%,2.105M,1.939M,4.602B,154.40
