,shoe_title,shoe_link,original_price,reduced_price,discount
0,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701,125.0,81.97,34.424
1,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-104,150.0,105.97,29.35333333333333
2,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FQ7831-142,135.0,94.97,29.651851851851852
3,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FJ3459-160,125.0,87.97,29.624000000000006
4,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
5,"Air Jordan 2 Low ""Origins""",https://www.nike.com/t/air-jordan-2-low-origins-mens-shoes-0GTxck/DV9956-006,150.0,120.97,19.35333333333333
6,Jumpman MVP,https://www.nike.com/t/jumpman-mvp-mens-shoes-gzmjDz/DZ4475-300,165.0,107.97,34.56363636363636
7,Jordan True Flight,https://www.nike.com/t/jordan-true-flight-mens-shoes-9TwpBF/CU4933-001,150.0,105.97,29.35333333333333
8,Jordan One Take 5,https://www.nike.com/t/jordan-one-take-5-basketball-shoes-5lWJJ3/FD2335-106,100.0,70.97,29.03
9,Jordan Max Aura 5,https://www.nike.com/t/jordan-max-aura-5-mens-shoes-nTmBrg/DZ4353-160,130.0,78.97,39.25384615384615
10,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-301,125.0,87.97,29.624000000000006
11,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-DdXxlf/DV1305-001,150.0,105.97,29.35333333333333
12,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/322992-067,170.0,110.97,34.72352941176471
13,Jordan Stay Loyal 3,https://www.nike.com/t/jordan-stay-loyal-3-mens-shoes-4n9P1r/FB1396-001,115.0,74.97,34.80869565217392
14,Jordan Stadium 90,https://www.nike.com/t/jordan-stadium-90-mens-shoes-q1QWcC/DX4397-103,140.0,91.97,34.30714285714286
15,"Luka 2 ""Trick Shot""",https://www.nike.com/t/luka-2-trick-shot-basketball-shoes-vcXFrk/DX8733-103,130.0,71.97,44.63846153846154
16,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-003,200.0,120.97,39.515
17,"Air Jordan 2 Retro ""Python""",https://www.nike.com/t/air-jordan-2-retro-python-mens-shoes-1dBD2H/DR8884-102,175.0,140.97,19.44571428571429
18,Air Jordan I High G,https://www.nike.com/t/air-jordan-i-high-g-mens-golf-shoes-ZgQdl6/DQ0660-130,180.0,99.97,44.46111111111111
19,Air Jordan 11 CMFT Low,https://www.nike.com/t/air-jordan-11-cmft-low-mens-shoes-Chz8HV/DN4180-060,130.0,97.97,24.63846153846154
20,Air Jordan Legacy 312 Low,https://www.nike.com/t/air-jordan-legacy-312-low-mens-shoes-B931hr/CD7069-071,145.0,94.97,34.50344827586207
21,Air Jordan 1 Hi FlyEase,https://www.nike.com/t/air-jordan-1-hi-flyease-mens-shoes-VjGcGX/CQ3835-106,150.0,90.97,39.35333333333333
22,Jordan True Flight,https://www.nike.com/t/jordan-true-flight-mens-shoes-ODLzlq/342964-042,150.0,112.97,24.686666666666667
23,Jordan System.23,https://www.nike.com/t/jordan-system23-mens-shoes-fKW1rS/DN4890-700,110.0,93.97,14.57272727272727
