,shoe_title,shoe_link,original_price,reduced_price,discount
0,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FB9911-001,135.0,87.97,34.837037037037035
1,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FJ3459-160,125.0,87.97,29.624000000000006
2,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-160,125.0,100.97,19.223999999999997
3,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DH4084-001,210.0,126.97,39.53809523809524
4,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
5,Nike Free Run 2018,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-4VTnGqeZ/942836-001,100.0,69.97,30.03
6,"Luka 2 ""Bred""",https://www.nike.com/t/luka-2-bred-basketball-shoes-vcXFrk/DX8733-006,130.0,78.97,39.25384615384615
7,Nike Flex Experience Run 11,https://www.nike.com/t/flex-experience-run-11-mens-road-running-shoes-GQV9kN/DD9284-001,75.0,44.97,40.04
8,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,170.0,102.97,39.42941176470588
9,Nike Free Run 5.0,https://www.nike.com/t/free-run-5-mens-road-running-shoes-Xp40hf/CZ1884-004,100.0,79.97,20.030000000000005
10,Air Jordan 1 Hi FlyEase,https://www.nike.com/t/air-jordan-1-hi-flyease-mens-shoes-VjGcGX/CQ3835-106,150.0,90.97,39.35333333333333
11,Nike Waffle One,https://www.nike.com/t/waffle-one-mens-shoes-4SPCK4/DA7995-100,105.0,78.97,24.790476190476195
12,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-104,150.0,84.97,43.35333333333333
13,Nike Revolution 6,https://www.nike.com/t/revolution-6-mens-road-running-shoes-B5GJnS/DC3728-003,70.0,48.97,30.042857142857148
14,Nike Air Max 95 Premium,https://www.nike.com/t/air-max-95-premium-mens-shoe-4Nzc1w/538416-007,170.0,99.97,41.194117647058825
15,"Giannis Immortality 3 ""5 The Hard Way""",https://www.nike.com/t/giannis-immortality-3-5-the-hard-way-basketball-shoes-H93p2P/DZ7533-300,85.0,59.97,29.447058823529414
16,"LeBron XXI ""Tahitian""",https://www.nike.com/t/lebron-xxi-tahitian-basketball-shoes-lnQSsH/FB2238-001,200.0,99.97,50.015
17,Air Jordan 11 CMFT Low,https://www.nike.com/t/air-jordan-11-cmft-low-mens-shoes-Chz8HV/DN4180-060,130.0,97.97,24.63846153846154
18,Air Jordan 1 Mid SE Craft,https://www.nike.com/t/air-jordan-1-mid-se-craft-mens-shoes-5VjD18/FD6817-003,135.0,87.97,34.837037037037035
19,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-501,200.0,110.97,44.51500000000001
20,Jordan Jumpman Pro,https://www.nike.com/t/jordan-jumpman-pro-mens-shoes-L3X3Sk/DN3686-006,145.0,94.97,34.50344827586207
21,Nike Waffle Debut,https://www.nike.com/t/waffle-debut-mens-shoes-bWdG09/DH9522-003,75.0,63.97,14.706666666666667
22,Nike Flex Control 4,https://www.nike.com/t/flex-control-4-mens-workout-shoes-14Z62l/CD0197-002,70.0,64.97,7.185714285714284
23,LeBron NXXT Gen,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-301,170.0,82.97,51.194117647058825
